Opportunity_ID,Account_ID,Sales_Rep_ID,Campaign_ID,Region,Industry,Account_Size,Product_Category,Deal_Size,Discount_%,Probability,Forecast_Category,Created_Date,Close_Date,Sales_Cycle_Days,Activity_Count,Is_Won,Is_Lost,Weighted_Revenue
1,133,3,11,Americas,Pharma,SMB,Instruments,6269,0.14,21.6,Pipeline,2025-03-19,,73,11,0,1,1354.1040000000003
2,1398,4,15,Americas,Life Sciences,SMB,Instruments,43192,0.1,21.6,Pipeline,2025-12-10,,63,8,0,1,9329.472000000002
3,1146,8,9,EMEA,Industrial,Mid-Market,Consumables,121324,0.32,19.8,Pipeline,2025-01-07,2025-05-26,139,3,0,1,24022.152000000002
4,220,9,6,EMEA,Industrial,Mid-Market,Instruments,83678,0.14,15.12,Pipeline,2023-12-03,2024-04-01,120,3,0,1,12652.1136
5,927,13,14,Americas,Pharma,Enterprise,Consumables,126870,0.06,15.12,Pipeline,2024-04-30,2024-09-09,132,15,0,1,19182.744
6,812,1,10,APAC,Environmental,SMB,Consumables,32215,0.25,21.6,Pipeline,2025-09-04,2025-10-10,36,19,0,1,6958.4400000000005
7,574,17,13,Americas,Life Sciences,Mid-Market,Software,31505,0.29,23.76,Pipeline,2024-01-24,2024-05-31,128,14,0,1,7485.588
8,266,23,3,APAC,Pharma,SMB,Software,8669,0.33,19.8,Pipeline,2023-02-17,2023-05-06,78,7,0,1,1716.462
9,619,21,15,Americas,Pharma,Enterprise,Consumables,335545,0.34,16.63,Pipeline,2025-04-20,2025-11-08,202,12,0,1,55801.1335
10,487,16,11,APAC,Pharma,SMB,Consumables,42858,0.09,15.12,Pipeline,2025-04-01,2025-05-17,46,19,0,1,6480.1296
11,1026,12,6,APAC,Industrial,Mid-Market,Consumables,40556,0.3,30.89,Pipeline,2023-02-16,2023-06-30,134,12,0,1,12527.7484
12,1355,8,14,EMEA,Environmental,Enterprise,Services,339407,0.15,21.6,Pipeline,2025-08-29,2026-01-23,147,12,0,1,73311.91200000001
13,697,11,10,APAC,Diagnostics,SMB,Consumables,38545,0.33,23.76,Pipeline,2023-08-04,2023-09-09,36,13,0,1,9158.292
14,212,24,1,APAC,Diagnostics,SMB,Instruments,12988,0.15,18.0,Pipeline,2023-04-25,2023-07-06,72,4,1,0,2337.8399999999997
15,646,2,1,APAC,Diagnostics,SMB,Services,14586,0.13,18.0,Pipeline,2024-01-13,2024-03-13,60,8,0,1,2625.48
16,1081,7,10,Americas,Environmental,Mid-Market,Services,39550,0.33,16.63,Pipeline,2024-02-16,2024-06-25,130,16,0,1,6577.165
17,605,10,2,Americas,Environmental,SMB,Software,42844,0.05,23.4,Pipeline,2023-05-05,2023-08-01,88,10,1,0,10025.496
18,436,20,4,EMEA,Environmental,Mid-Market,Consumables,115939,0.31,30.89,Pipeline,2024-12-27,,123,8,1,0,35813.5571
19,12,23,7,APAC,Industrial,SMB,Consumables,25580,0.34,23.76,Pipeline,2024-04-17,,30,16,1,0,6077.808
20,222,1,9,APAC,Industrial,Mid-Market,Consumables,42876,0.27,23.76,Pipeline,2023-12-09,2024-03-30,112,6,1,0,10187.3376
21,1368,22,2,EMEA,Industrial,SMB,Instruments,42304,0.29,19.8,Pipeline,2023-04-03,2023-06-07,65,8,0,1,8376.192000000001
22,817,10,2,Americas,Life Sciences,SMB,Software,39760,0.31,30.89,Pipeline,2025-02-10,2025-05-09,88,15,1,0,12281.864
23,896,6,4,APAC,Environmental,Mid-Market,Services,80009,0.17,21.6,Pipeline,2025-03-07,2025-05-15,69,17,1,0,17281.944000000003
24,1114,3,3,Americas,Industrial,Enterprise,Consumables,196648,0.28,23.76,Pipeline,2024-05-23,2025-01-04,226,12,1,0,46723.5648
25,1025,11,14,APAC,Diagnostics,Enterprise,Services,346682,0.18,18.0,Pipeline,2024-02-02,2024-07-05,154,6,0,1,62402.759999999995
26,235,5,6,Americas,Diagnostics,SMB,Consumables,19647,0.26,19.96,Pipeline,2023-12-21,2024-01-26,36,11,0,1,3921.5412
27,646,20,8,EMEA,Diagnostics,SMB,Services,38856,0.18,28.08,Pipeline,2024-01-26,2024-04-05,70,13,0,1,10910.764799999999
28,384,8,9,EMEA,Industrial,SMB,Services,18395,0.18,25.92,Pipeline,2025-11-14,2026-01-24,71,16,1,0,4767.984
